	created_at	id	in_reply_to_status_id	in_reply_to_screen_name	source	retweeted	retweet_count	favorite_count	screen_name	hashtags	text
0	Tue Oct 29 09:47:45 +0000 2013	395124790325174272			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Nexus 10 2013 Leather Sleeve | AMARETTINI | http://t.co/RStAcDvfzD | #Nexus10Cover #Nexus10Sleeve #Nexus10Felt #Nexus10_2013 #Nexus10Portel
0	Wed Oct 23 12:00:36 +0000 2013	392983894619729920			"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	0	0			Nexus10スクリーンショット撮れんじゃねーか
0	Wed Oct 23 12:00:36 +0000 2013	392983894619729920			"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	0	0			Nexus10スクリーンショット撮れんじゃねーか
0	Mon Oct 28 14:49:53 +0000 2013	394838437334745089			"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>"	False	0	0			"偽物とされる「Nexus 10 (2013)」が公開。本物も準備中？ http://t.co/dQ4pge6Rzp @google_padさんから
なーんだ"
1	Mon Oct 28 14:49:12 +0000 2013	394838265175363584			"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>"	False	0	0			偽物とされる「Nexus 10 (2013)」が公開。本物も準備中？ http://t.co/Axv2CKrkrw Googlepad
2	Mon Oct 28 14:49:08 +0000 2013	394838248926638080			web	False	0	0			Important week for Google: #Nexus5 5, #Nexus10 and Android Kit Kat 4.4 are coming...
3	Mon Oct 28 14:46:47 +0000 2013	394837657366167553			"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>"	False	0	0			偽物とされる「Nexus 10 (2013)」が公開。本物も準備中？ http://t.co/d35zIaBRvG @google_padさんから
4	Mon Oct 28 14:46:24 +0000 2013	394837560167776256			"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	0	0			Could come any day now #KitKat #Nexus5 #Nexus10 #Android
5	Mon Oct 28 14:46:24 +0000 2013	394837558540390400			"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	0	0			In Depth: Google #Nexus 10 (2013) release date, news and rumors http://t.co/zBLe5i7pAe #Nexus10
6	Mon Oct 28 14:46:18 +0000 2013	394837532594032640			"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>"	False	0	0			偽物とされる「Nexus 10 (2013)」が公開。本物も準備中？ http://t.co/wJaVNwURK2 #携帯 #アンドロイド #スマホ #androidjp
7	Mon Oct 28 14:41:09 +0000 2013	394836238911279104			"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>"	False	0	0			"#Google exec teases #Android news: Expect #KitKat, #Nexus5, #Nexus10 and maybe one more thing #Goog 

 http://t.co/HFw99dDl8r"
8	Mon Oct 28 14:38:54 +0000 2013	394835673649139713			"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	1	0			RT @Google_Pad: 偽物とされる「Nexus 10 (2013)」が公開。本物も準備中？ http://t.co/nClUMu9wGl #androidjp
