	created_at	id	in_reply_to_status_id	in_reply_to_screen_name	source	retweeted	retweet_count	favorite_count	screen_name	hashtags	text
0	Wed Oct 23 11:13:49 +0000 2013	392972120718065664			"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	189	0			RT @MicrosoftUK: RT for chance to win tix to #Surface2 launch party in London w/ @DizzeeRascal! http://t.co/PP9qf2IibZ #GiantSurface http:/…
0	Wed Oct 23 11:13:49 +0000 2013	392972120718065664			"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	189	0			RT @MicrosoftUK: RT for chance to win tix to #Surface2 launch party in London w/ @DizzeeRascal! http://t.co/PP9qf2IibZ #GiantSurface http:/…
0	Wed Oct 23 11:13:49 +0000 2013	392972120718065664			"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	189	0			RT @MicrosoftUK: RT for chance to win tix to #Surface2 launch party in London w/ @DizzeeRascal! http://t.co/PP9qf2IibZ #GiantSurface http:/…
0	Wed Oct 23 11:13:49 +0000 2013	392972120718065664			"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	False	189	0			RT @MicrosoftUK: RT for chance to win tix to #Surface2 launch party in London w/ @DizzeeRascal! http://t.co/PP9qf2IibZ #GiantSurface http:/…
0	Tue Oct 29 09:56:03 +0000 2013	395126879440879616			"<a href=""http://www.computerbase.de/"" rel=""nofollow"">BaseCMS</a>"	False	1	3			Microsofts Tablets #Surface2 und #SurfacePro2 im ausführlichen Test http://t.co/VK76abXSzM @MicrosoftPresse @Microsoft
0	Wed Nov 06 07:20:48 +0000 2013	397986909785292800			web	False	0	0			See this review of #Surface2 (not the pro) http://t.co/VC9qqNIPiC I want one NOW!
1	Wed Nov 06 07:13:35 +0000 2013	397985094788317184			"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	0	0			My #surface2 comes in handy in school #LoveIt
2	Wed Nov 06 07:13:33 +0000 2013	397985085732823040			"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>"	False	0	0			Seriously.... I love my Surface 2 so much #windows #surface2 So glad I went with windows instead of the new iPad
3	Wed Nov 06 07:05:07 +0000 2013	397982962701971456			web	False	0	0			อยากไปงาน #commart !!!! อยากได้ Surface2+Type cover อ่ะ T^T
4	Wed Nov 06 06:58:54 +0000 2013	397981399908499457			"<a href=""http://shootingstar067.com/"" rel=""nofollow"">ShootingStar</a>"	False	1	0			RT @lovelive_mania: ipadAir買うくらいならSurface2買う方がまし、塗装剥がれ率高すぎる
5	Wed Nov 06 06:54:04 +0000 2013	397980184067846144			"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	10	0			"RT @osamum_MS: これはヤヴァイ、無印Surface持ってるけどSurface2が欲しくなる。つーか、スゴイよこれ! 
Why I Love my Microsoft Surface 2 : Tips and Tricks: http://t.co/YVabfzJH…"
6	Wed Nov 06 06:53:52 +0000 2013	397980134172807168			"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"	False	0	0			My birthday couldn't come soon enough! #windowscampus #surface2 #Microsoft http://t.co/7GKofcL4yp
7	Wed Nov 06 06:50:27 +0000 2013	397979274235219969			"<a href=""http://www.mz3.jp/"" rel=""nofollow"">TkMixiViewer</a>"	False	1	1			ipadAir買うくらいならSurface2買う方がまし、塗装剥がれ率高すぎる
8	Wed Nov 06 06:43:59 +0000 2013	397977644198678528			"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	0	0			SURFACE2でFL Studio使えないよな
9	Wed Nov 06 06:42:30 +0000 2013	397977272134557696			"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	0	0			何でsurface2のケースだけ売ってないの？
10	Wed Nov 06 06:40:33 +0000 2013	397976781250396160			"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	False	0	0			#Surface2 order confirmation finally arrived. Only took 10 hours #fail
11	Wed Nov 06 06:35:42 +0000 2013	397975561165082624			"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	0	0			Surface in Edu http://t.co/d2S9RTKisH @MicrosoftPIL #Surface2
12	Wed Nov 06 06:23:38 +0000 2013	397972526422188032			"<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>"	False	0	0			ヨドバシカメラ来たら新しいPC欲しくなった。10万あれば結構なもん買えるなー。Surface2もなんか良い感じですね。
13	Wed Nov 06 06:19:49 +0000 2013	397971563124760576			"<a href=""http://twipple.jp/"" rel=""nofollow"">ついっぷる　Pro for Android</a>"	False	10	0			"RT @osamum_MS: これはヤヴァイ、無印Surface持ってるけどSurface2が欲しくなる。つーか、スゴイよこれ! 
Why I Love my Microsoft Surface 2 : Tips and Tricks: http://t.co/YVabfzJH…"
14	Wed Nov 06 06:12:40 +0000 2013	397969763202113536			"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	False	0	0			"Surface2欲しいヽ(●´ε｀●)ノ私がパソコン、タブレット欲しがるなんて…
でもそうするんならガラケーに戻ります。
スマホ、便利だけど体に悪いわ。首は疲れるし何より友達との会話が減る。社会人になったらメインをガラケーにシフトしよ！"
15	Wed Nov 06 06:12:15 +0000 2013	397969660861100032			"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>"	False	0	0			ARM対応してなくてちょっと驚いた。Surface2で使えるようにARM対応してほしいなぁ || StationTV® Link - 製品特長 | 株式会社ピクセラ http://t.co/EMYRhJeviK @PIXELA_CORPさんから
16	Wed Nov 06 06:11:00 +0000 2013	397969343541047296	3.97968342776e+17	AkizoraMineko	"<a href=""http://hotot.org"" rel=""nofollow"">Hotot for Chrome</a>"	False	0	0			@AkizoraMineko 是啊 再等一周 surface2上市后 我去买个1
17	Wed Nov 06 06:08:38 +0000 2013	397968749984096258			"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>"	False	2	0			RT @chewieroar: Great view of using Surface2 in interesting ways! http://t.co/9amZqeUm4X
18	Wed Nov 06 05:44:54 +0000 2013	397962777580425216			"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>"	False	0	0			Surface 2 de Microsoft : je l'ai achetée, malgré quelques défauts je ne suis pas déçu http://t.co/S8Oe6RE9kC #surface2 #microsoft #windows8
19	Wed Nov 06 05:32:29 +0000 2013	397959650538033152			web	False	0	0			Surface2
20	Wed Nov 06 05:24:19 +0000 2013	397957596356681730			"<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>"	False	0	0			surface2当たれ当たれ！
21	Wed Nov 06 05:18:16 +0000 2013	397956072792522754			"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>"	False	0	0			"surface2
純正のカバータイプのキーボードをつけると操作性の難はかなり解消されるが、それはタッチパッドがついているから。つまりノートPC化するからってだけ。
またもや、これはタブレットではないPCなのだという開発者の声が聞こえる。再度言おう、ライバルは見えているのかと。"
22	Wed Nov 06 05:17:29 +0000 2013	397955878852517888			"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	False	0	0			Surface 2 Leather Sleeve | RUM DIARY | http://t.co/i03uD8hLqY | #Surface2 #Surface2Pro #Surface2ProSleeve #Surfac... http://t.co/Q2HKliPYYl
23	Wed Nov 06 05:14:05 +0000 2013	397955021263745024			"<a href=""http://janetter.net/"" rel=""nofollow"">Janetter</a>"	False	10	0			"RT @osamum_MS: これはヤヴァイ、無印Surface持ってるけどSurface2が欲しくなる。つーか、スゴイよこれ! 
Why I Love my Microsoft Surface 2 : Tips and Tricks: http://t.co/YVabfzJH…"
24	Wed Nov 06 05:12:22 +0000 2013	397954591813152768			"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>"	False	0	0			surface2、プロバ契約とかで安く手に入らんかな
25	Wed Nov 06 05:11:29 +0000 2013	397954366079901696	3.97910084405e+17	osamum_MS	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	0	0			"この作者すごい必見 “@osamum_MS: これはヤヴァイ、無印Surface持ってるけどSurface2が欲しくなる。
Why I Love my Microsoft Surface 2 : Tips and Tricks: http://t.co/QRntyLRjyu”"
26	Wed Nov 06 05:09:22 +0000 2013	397953834686746624			"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>"	False	0	0			"surface2
設定項目がデスクトップの方と、チャームからの設定とダブっている、もしくは干渉しているため、両方を設定しないといけないケースがある。=中途半端=混乱"
27	Wed Nov 06 05:05:01 +0000 2013	397952739080011776			"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>"	False	10	0			"RT @osamum_MS: これはヤヴァイ、無印Surface持ってるけどSurface2が欲しくなる。つーか、スゴイよこれ! 
Why I Love my Microsoft Surface 2 : Tips and Tricks: http://t.co/YVabfzJH…"
28	Wed Nov 06 04:50:17 +0000 2013	397949033127235584			"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>"	False	0	0			My #Surface2 is now looking like a Chrome book thanks to TS RemoteApp! ;)
29	Wed Nov 06 04:48:08 +0000 2013	397948492162662400			"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	0	0			iCloudサイトを始め、Mac、PC、iPad、iPhoneで問題なく操作可能はWEBサイトが、surface2のIEでタッチ操作時に、操作が不能、もしくは、著しく困難を伴う事がある。
30	Wed Nov 06 04:30:19 +0000 2013	397944007633801216			"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	0	0			"surface2 (というか、windowsアプリ)
テキストメール内のURLアドレスにリンク機能がつかない。
該当URLをコピー後、ブラウザーでペーストの必要有り。
HTMLメールのURLはリンクも機能するが。"
31	Wed Nov 06 04:21:08 +0000 2013	397941697629257729			"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	0	0			"surface2 (というか、windowsアプリ)
細かいながら結構痛い仕様の数々が。
プッシュ受信しない。間隔は15分から。受信音なしでスリープから復帰もしない。
これはタブレットではなくPCだ。という開発者の声が聞こえるが、ライバルが見えているなら、そんな理屈は捨てるべし。"
32	Wed Nov 06 03:59:34 +0000 2013	397936267024809984			"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>"	False	0	0			Microsoft Surface 2 vs. iPad #surface2 http://t.co/PZqHPjTu72
33	Wed Nov 06 03:59:03 +0000 2013	397936139618619393			"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>"	False	0	0			"Why I Love my Microsoft Surface 2 : Tips and Tricks: http://t.co/by7GMwVeCt 
#microsoft #surface2"
34	Wed Nov 06 03:54:14 +0000 2013	397934925585711105			"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	0	0			"会社で艦これできなくてさみしい。
Surface2でも買おうかな。"
35	Wed Nov 06 03:50:02 +0000 2013	397933868461727744			"<a href=""http://labo.willcomnews.com/?cid=56904"" rel=""nofollow"">WNTwit</a>"	False	0	0			WindowsRTのデスクトップアプリの実行制限がなくなれば、Surface2が十分検討対象になるというのに・・・
36	Wed Nov 06 03:47:57 +0000 2013	397933344211492864			"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	0	0			"今月中にテキストのほとんどをスキャンして、pdf化しておきたい

さて、

Nexus7を買ってこれを見るか

Surface2を買ってこれを見るか

果てさて、iPad miniを買ってこれを見るか

Surface2が一番イイんだが、、、"
37	Wed Nov 06 03:39:07 +0000 2013	397931122115362816			"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	False	0	1			surface2買いたいマン
38	Wed Nov 06 03:38:08 +0000 2013	397930874794045440			"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>"	False	0	0			Microsoft Surface 2 Holiday Giveaway http://t.co/nwfdwkYxmu #surface2 #microsoft #tablets #giveaways #contests
